 4  0.958944443317944  2.4953009027e-03  2.4953009027e-03 
 16  0.956604832214123  1.5568979884e-04  1.5568979884e-04 
 64  0.956458871988373  9.7295730910e-06  9.7295730907e-06 
 256  0.956449750509541  6.0809425895e-07  6.0809425868e-07 
 1024  0.956449180421159  3.8005876446e-08  3.8005875311e-08 
 4096  0.956449144790650  2.3753675693e-09  2.3753671444e-09 
 16384  0.956449142563739  1.4845713547e-10  1.4846044615e-10 
 65536  0.956449142424569  9.2864604895e-12  9.2787779720e-12 
 262144  0.956449142415861  5.7875926274e-13  5.7992360163e-13 
 1048576  0.956449142415337  5.4956039719e-14  3.6245187578e-14 
 4194304  0.956449142415300  1.8318679906e-14  2.2653524236e-15 
 16777216  0.956449142415271  1.1546319456e-14  1.4158808475e-16 
 67108864  0.956449142415314  3.1530333899e-14  8.8534095555e-18 
 268435456  0.956449142416257  9.7455377102e-13  5.5524077022e-19 
 1073741824  0.956449142422453  7.1707084714e-12  3.2814071452e-20 
